2024-01-03 18:52:38,432 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:38,432 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch/sketch.templ ...
2024-01-03 18:52:38,432 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:38,440 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:38,440 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:38,440 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch/sketch.props ...
2024-01-03 18:52:38,441 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:38,441 - jani.py - constructing JANI program...
2024-01-03 18:52:38,526 - jani.py - constructing the quotient...
2024-01-03 18:52:39,269 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:39,557 - sketch.py - sketch parsing OK
2024-01-03 18:52:39,558 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-03 18:52:39,558 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:39,685 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:39,834 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 95.016%, elapsed 4782 s, estimated 5033 s, iters = {MDP: 1246805}
> Progress 95.073%, elapsed 4785 s, estimated 5033 s, iters = {MDP: 1247553}
> Progress 95.161%, elapsed 4788 s, estimated 5031 s, iters = {MDP: 1248710}
> Progress 95.245%, elapsed 4791 s, estimated 5030 s, iters = {MDP: 1249817}
> Progress 95.332%, elapsed 4794 s, estimated 5029 s, iters = {MDP: 1250952}
> Progress 95.411%, elapsed 4797 s, estimated 5028 s, iters = {MDP: 1251989}
> Progress 95.487%, elapsed 4800 s, estimated 5027 s, iters = {MDP: 1252994}
> Progress 95.563%, elapsed 4803 s, estimated 5026 s, iters = {MDP: 1253989}
> Progress 95.635%, elapsed 4806 s, estimated 5025 s, iters = {MDP: 1254925}
> Progress 95.705%, elapsed 4809 s, estimated 5025 s, iters = {MDP: 1255846}
> Progress 95.771%, elapsed 4812 s, estimated 5024 s, iters = {MDP: 1256720}
> Progress 95.835%, elapsed 4815 s, estimated 5024 s, iters = {MDP: 1257555}
> Progress 95.894%, elapsed 4818 s, estimated 5024 s, iters = {MDP: 1258335}
> Progress 95.953%, elapsed 4821 s, estimated 5024 s, iters = {MDP: 1259104}
> Progress 96.012%, elapsed 4824 s, estimated 5024 s, iters = {MDP: 1259872}
> Progress 96.069%, elapsed 4827 s, estimated 5024 s, iters = {MDP: 1260627}
> Progress 96.124%, elapsed 4830 s, estimated 5025 s, iters = {MDP: 1261353}
> Progress 96.18%, elapsed 4833 s, estimated 5025 s, iters = {MDP: 1262087}
> Progress 96.234%, elapsed 4836 s, estimated 5025 s, iters = {MDP: 1262785}
> Progress 96.288%, elapsed 4839 s, estimated 5025 s, iters = {MDP: 1263493}
> Progress 96.375%, elapsed 4842 s, estimated 5024 s, iters = {MDP: 1264636}
> Progress 96.46%, elapsed 4845 s, estimated 5023 s, iters = {MDP: 1265761}
> Progress 96.54%, elapsed 4848 s, estimated 5022 s, iters = {MDP: 1266799}
> Progress 96.62%, elapsed 4851 s, estimated 5021 s, iters = {MDP: 1267856}
> Progress 96.699%, elapsed 4854 s, estimated 5020 s, iters = {MDP: 1268892}
> Progress 96.774%, elapsed 4857 s, estimated 5019 s, iters = {MDP: 1269880}
> Progress 96.846%, elapsed 4860 s, estimated 5018 s, iters = {MDP: 1270824}
> Progress 96.916%, elapsed 4863 s, estimated 5018 s, iters = {MDP: 1271739}
> Progress 96.98%, elapsed 4866 s, estimated 5017 s, iters = {MDP: 1272575}
> Progress 97.044%, elapsed 4869 s, estimated 5017 s, iters = {MDP: 1273420}
> Progress 97.106%, elapsed 4872 s, estimated 5017 s, iters = {MDP: 1274231}
> Progress 97.165%, elapsed 4875 s, estimated 5017 s, iters = {MDP: 1275013}
> Progress 97.219%, elapsed 4878 s, estimated 5017 s, iters = {MDP: 1275720}
> Progress 97.276%, elapsed 4881 s, estimated 5018 s, iters = {MDP: 1276468}
> Progress 97.332%, elapsed 4884 s, estimated 5018 s, iters = {MDP: 1277192}
> Progress 97.387%, elapsed 4887 s, estimated 5018 s, iters = {MDP: 1277920}
> Progress 97.441%, elapsed 4890 s, estimated 5018 s, iters = {MDP: 1278624}
> Progress 97.493%, elapsed 4893 s, estimated 5019 s, iters = {MDP: 1279310}
> Progress 97.556%, elapsed 4896 s, estimated 5019 s, iters = {MDP: 1280143}
> Progress 97.651%, elapsed 4899 s, estimated 5017 s, iters = {MDP: 1281380}
> Progress 97.738%, elapsed 4902 s, estimated 5015 s, iters = {MDP: 1282521}
> Progress 97.819%, elapsed 4905 s, estimated 5014 s, iters = {MDP: 1283588}
> Progress 97.893%, elapsed 4908 s, estimated 5014 s, iters = {MDP: 1284565}
> Progress 97.966%, elapsed 4911 s, estimated 5013 s, iters = {MDP: 1285523}
> Progress 98.041%, elapsed 4914 s, estimated 5012 s, iters = {MDP: 1286502}
> Progress 98.113%, elapsed 4917 s, estimated 5012 s, iters = {MDP: 1287444}
> Progress 98.182%, elapsed 4920 s, estimated 5011 s, iters = {MDP: 1288355}
> Progress 98.25%, elapsed 4923 s, estimated 5011 s, iters = {MDP: 1289238}
> Progress 98.314%, elapsed 4926 s, estimated 5010 s, iters = {MDP: 1290084}
> Progress 98.376%, elapsed 4929 s, estimated 5010 s, iters = {MDP: 1290903}
> Progress 98.436%, elapsed 4932 s, estimated 5010 s, iters = {MDP: 1291685}
> Progress 98.492%, elapsed 4935 s, estimated 5010 s, iters = {MDP: 1292426}
> Progress 98.545%, elapsed 4938 s, estimated 5011 s, iters = {MDP: 1293118}
> Progress 98.599%, elapsed 4941 s, estimated 5011 s, iters = {MDP: 1293827}
> Progress 98.655%, elapsed 4944 s, estimated 5011 s, iters = {MDP: 1294559}
> Progress 98.709%, elapsed 4947 s, estimated 5012 s, iters = {MDP: 1295265}
> Progress 98.762%, elapsed 4950 s, estimated 5012 s, iters = {MDP: 1295967}
> Progress 98.853%, elapsed 4953 s, estimated 5010 s, iters = {MDP: 1297156}
> Progress 98.943%, elapsed 4956 s, estimated 5009 s, iters = {MDP: 1298342}
> Progress 99.029%, elapsed 4959 s, estimated 5008 s, iters = {MDP: 1299464}
> Progress 99.109%, elapsed 4962 s, estimated 5007 s, iters = {MDP: 1300513}
> Progress 99.183%, elapsed 4965 s, estimated 5006 s, iters = {MDP: 1301491}
> Progress 99.254%, elapsed 4968 s, estimated 5005 s, iters = {MDP: 1302421}
> Progress 99.323%, elapsed 4971 s, estimated 5005 s, iters = {MDP: 1303330}
> Progress 99.393%, elapsed 4974 s, estimated 5004 s, iters = {MDP: 1304237}
> Progress 99.46%, elapsed 4977 s, estimated 5004 s, iters = {MDP: 1305120}
> Progress 99.526%, elapsed 4980 s, estimated 5004 s, iters = {MDP: 1305994}
> Progress 99.587%, elapsed 4983 s, estimated 5004 s, iters = {MDP: 1306782}
> Progress 99.648%, elapsed 4986 s, estimated 5004 s, iters = {MDP: 1307592}
> Progress 99.706%, elapsed 4989 s, estimated 5004 s, iters = {MDP: 1308348}
> Progress 99.763%, elapsed 4992 s, estimated 5004 s, iters = {MDP: 1309094}
> Progress 99.817%, elapsed 4995 s, estimated 5004 s, iters = {MDP: 1309810}
> Progress 99.87%, elapsed 4998 s, estimated 5004 s, iters = {MDP: 1310505}
> Progress 99.923%, elapsed 5001 s, estimated 5005 s, iters = {MDP: 1311192}
> Progress 99.976%, elapsed 5004 s, estimated 5005 s, iters = {MDP: 1311899}
2024-01-03 20:16:05,646 - synthesizer.py - evaluation finished
--------------------
Synthesis summary:
constraint 1: P>=19/20 [F ((bat = 0) & (lost = 0))]

method: 1-by-1, synthesis time: 5005.81 s
number of holes: 10, family size: 1312200, quotient: 1594 states / 186170 actions
explored: 100 %
MDP stats: avg MDP size: 937, iterations: 1312200

satisfied 51102/1312200 members (4%)
--------------------
